id,name,skill,age,gender,availability_status,rating,language,hobli
1,Labor 1,Leveling and Soil Tillage,46,female,part-time,1.5,Kannada,Yelahanka Hobli
2,Labor 2,Composting/Manure Application,25,male,unavailable,4.3,Telugu,Hebbal Hobli
3,Labor 3,Mulching Techniques,49,male,available,3.1,Punjabi,Hennur Hobli
4,Labor 4,Seed Sowing (Manual & Machine),28,female,part-time,2.7,Hindi,Banaswadi Hobli
5,Labor 5,"Seedling Transplantation (Paddy, Vegetables)",26,female,unavailable,1.8,Kannada,Anekal Hobli
6,Labor 6,Nursery Management,47,female,available,1.9,Telugu,Koramangala Hobli
7,Labor 7,Seed Treatment,42,male,part-time,1.2,Punjabi,Begur Hobli
8,Labor 8,"Weeding (Manual, Chemical, Mechanical)",51,female,unavailable,2.2,Hindi,Banashankari Hobli
9,Labor 9,"Fertilizer Application (DAP, Urea, Organic)",32,female,available,4.5,Kannada,Nazarabad Hobli
10,Labor 10,Pest/Disease Identification & Management,18,male,part-time,2.6,Telugu,Bannimantap Hobli
11,Labor 11,"Pruning and Training (Fruit Trees, Vineyards)",38,male,unavailable,3.8,Punjabi,Hinkal Hobli
12,Labor 12,"Grain Harvesting (Wheat, Rice, Maize)",52,female,available,1.7,Hindi,T. Narasipura Hobli
13,Labor 13,"Fruit Picking (Mango, Banana, Citrus)",25,male,part-time,1.7,Kannada,Nanjangud Hobli
14,Labor 14,"Vegetable Harvesting (Tomato, Onion, Potato)",55,female,unavailable,3.7,Telugu,Muddur Hobli
15,Labor 15,Tea/Coffee Plucking,49,female,available,2.2,Punjabi,Kammalapura Hobli
16,Labor 16,Threshing (Manual & Machine),35,male,part-time,3.4,Hindi,Savadatti Hobli
17,Labor 17,Winnowing and Cleaning,37,male,unavailable,1.1,Kannada,Murgod Hobli
18,Labor 18,Grading and Sorting,47,male,available,3.3,Telugu,Kakati Hobli
19,Labor 19,"Storage (Grain Silos, Cold Storage)",55,female,part-time,3.1,Punjabi,Kittur Hobli
20,Labor 20,Tractor Operations,51,male,unavailable,1.1,Hindi,Hukeri Hobli
21,Labor 21,Plowing/Harrowing,30,male,available,1.1,Kannada,Chinchkheda Hobli
22,Labor 22,Seeding/Planting Attachments,59,female,part-time,1.5,Telugu,Gokak Hobli
23,Labor 23,Trailer Handling,25,female,unavailable,5,Punjabi,Kavoor Hobli
24,Labor 24,Drip Irrigation Setup,38,male,available,3.5,Hindi,Suratkal Hobli
25,Labor 25,Sprinkler Operation,58,female,part-time,4.8,Kannada,Bajpe Hobli
26,Labor 26,Pump Maintenance,40,female,unavailable,1.7,Telugu,Mulki Hobli
27,Labor 27,Combine Harvester Operation,45,female,available,2.3,Punjabi,Puttur Hobli
28,Labor 28,Power Tiller Usage,48,female,part-time,3.7,Hindi,Bellare Hobli
29,Labor 29,Thresher Operation,47,male,unavailable,4.4,Kannada,Kadaba Hobli
30,Labor 30,Animal Husbandry,21,female,available,4.9,Telugu,Chikkamagaluru Hobli
31,Labor 31,"Dairy Farming (Milking, Feed Management)",32,female,part-time,4.1,Punjabi,Mudigere Hobli
32,Labor 32,"Poultry Care (Vaccination, Brooding)",42,female,unavailable,1.1,Hindi,Kadur Hobli
33,Labor 33,Goat/Sheep Rearing,38,male,available,1.5,Kannada,Tarikere Hobli
34,Labor 34,Fisheries,48,male,part-time,3.9,Telugu,Koppa Hobli
35,Labor 35,Pond Preparation,20,male,unavailable,4.1,Punjabi,N.R. Pura Hobli
36,Labor 36,Fish Feeding Techniques,31,male,available,1.1,Hindi,Bhadravati Hobli
37,Labor 37,Net Casting/Harvesting,42,female,part-time,4.8,Kannada,Tumkur Hobli
38,Labor 38,Organic Farming,43,male,unavailable,4.6,Telugu,Sira Hobli
39,Labor 39,Vermicomposting,22,female,available,4,Punjabi,Madhugiri Hobli
40,Labor 40,Biofertilizer Application,29,male,part-time,4.2,Hindi,Pavagada Hobli
41,Labor 41,"Natural Pest Control (Neem, Cow Urine)",47,female,unavailable,4.5,Kannada,Tiptur Hobli
42,Labor 42,Greenhouse Management,35,male,available,4,Telugu,Gubbi Hobli
43,Labor 43,Polyhouse Maintenance,42,female,part-time,2.8,Punjabi,Kunigal Hobli
44,Labor 44,Hydroponics/Aquaponics,32,male,unavailable,3.3,Hindi,Karwar Hobli
45,Labor 45,Agroforestry,57,female,available,3.5,Kannada,Bhatkal Hobli
